AX,AY,AZ,GX,GY,GZ,Label,Person
-0.752907149,-0.255774537,-9.526182686,0.537762503,-8.835277654,-0.672595222,Chew,1P
-0.873647041,-0.369385628,-9.611243529,0.116090858,-5.762830548,-0.162656259,Chew,1P
-0.896586205,-0.422858266,-9.599060628,-0.959599363,1.688475403,1.476704476,Chew,1P
-0.858471322,-0.372358953,-9.517165981,-1.641046805,6.634501973,2.544999954,Chew,1P
-0.850790671,-0.273509199,-9.479211557,-1.1635243,5.898613877,2.232935339,Chew,1P
-0.809932939,-0.221203749,-9.479520508,-0.134577057,2.157024833,1.474580568,Chew,1P
-0.600865774,-0.244267623,-9.402334005,0.364542251,-1.604847962,1.407910809,Chew,1P
-0.331501091,-0.292097202,-9.260737196,0.20211067,-4.531441183,1.869788917,Chew,1P
-0.339690199,-0.32847361,-9.257291676,-0.119323291,-5.210538884,2.013050243,Chew,1P
-0.730966847,-0.379700998,-9.495814683,-0.717243427,-1.714865767,1.837150346,Chew,1P
-1.127467192,-0.456797482,-9.757572216,-2.076157152,4.267442204,2.135367304,Chew,1P
-1.084246746,-0.493231831,-9.735223992,-3.642066873,7.181068798,3.015718185,Chew,1P
-0.641937219,-0.425119036,-9.435595349,-3.976499275,4.168220361,3.54960228,Chew,1P
-0.27456358,-0.300112206,-9.179090361,-2.665208275,-0.350800165,3.104112877,Chew,1P
-0.355833738,-0.238992285,-9.212645508,-1.015088972,0.072951619,2.049833998,Chew,1P
-0.828336652,-0.287640234,-9.476632066,-0.330196016,4.90730499,0.895983746,Chew,1P
-1.346131923,-0.35615613,-9.753262768,-0.378122001,6.747125903,-0.397891826,Chew,1P
-1.601559586,-0.331101519,-9.891176312,-0.274965686,1.838919105,-1.937825182,Chew,1P
-1.512680078,-0.22150739,-9.851067041,-0.120989791,-3.544874153,-3.307736748,Chew,1P
-1.193143429,-0.14938733,-9.663172222,-0.711173348,-1.690838911,-3.755836677,Chew,1P
-0.814927357,-0.196428824,-9.419076636,-2.018797484,4.796033344,-2.837277314,Chew,1P
-0.515513931,-0.306934215,-9.245040964,-3.000889809,6.724867175,-0.853029158,Chew,1P
-0.385198242,-0.363656827,-9.216034332,-2.843859294,2.16982687,1.269774366,Chew,1P
-0.469838689,-0.325087593,-9.3105139,-1.715194549,-1.326215122,2.410012796,Chew,1P
-0.759517563,-0.251000686,-9.473795236,-0.308749305,1.245703741,1.737429702,Chew,1P
-1.167498063,-0.205191822,-9.682046956,0.814392178,5.59004281,-0.4999383,Chew,1P
-1.518290765,-0.178543973,-9.898535886,1.325947995,6.017485728,-2.522010157,Chew,1P
-1.616981613,-0.126476509,-10.02032784,1.06547757,4.126872835,-2.390793392,Chew,1P
-1.401249196,-0.053026424,-9.956681419,0.228054983,4.62657235,-0.28419343,Chew,1P
-1.009796442,-0.020788664,-9.748775133,-0.634674799,6.629166864,1.607700753,Chew,1P
-0.662457998,-0.071788398,-9.539211359,-1.061893279,5.533523469,1.884870629,Chew,1P
-0.495079338,-0.167521275,-9.42507063,-1.016940667,1.424992857,1.471531016,Chew,1P
-0.53258239,-0.234991991,-9.401676663,-0.776712946,-0.80090268,1.638993789,Chew,1P
-0.76394922,-0.253142391,-9.447646555,-0.650131685,0.731921872,1.714448738,Chew,1P
-1.146616322,-0.253929005,-9.580738443,-0.71689282,2.327122939,0.268528539,Chew,1P
-1.526968573,-0.246987569,-9.77682096,-0.735531421,1.093543823,-1.94369295,Chew,1P
-1.669716088,-0.195789307,-9.899056102,-0.468154288,-0.503208676,-2.251678893,Chew,1P
-1.460330777,-0.091031952,-9.813006106,-0.150123671,0.776162716,0.221420647,Chew,1P
-1.042169535,-0.00480194,-9.56513103,-0.32379957,3.267826628,2.991128573,Chew,1P
-0.69059863,-0.019479901,-9.35402184,-1.006645257,3.418031422,3.458007378,Chew,1P
-0.575839506,-0.122759366,-9.313534525,-1.40307508,1.890554437,2.15452595,Chew,1P
-0.68581906,-0.229080525,-9.399520052,-0.829194061,1.786386626,1.319610299,Chew,1P
-0.926076342,-0.2864522,-9.498314212,0.36255096,2.275573871,1.453731498,Chew,1P
-1.202702924,-0.30351805,-9.562578898,1.106343519,-0.63274529,1.110710909,Chew,1P
-1.410482442,-0.292994815,-9.601264375,0.659014473,-6.439566387,-0.315269476,Chew,1P
-1.437373031,-0.25394846,-9.607713308,-0.745619493,-8.327942317,-1.433626857,Chew,1P
-1.24157608,-0.206158811,-9.573123499,-2.069281665,-2.045349727,-0.918546757,Chew,1P
-0.906624082,-0.191064726,-9.536667385,-2.443895061,6.969936679,0.65429646,Chew,1P
-0.595223295,-0.223769994,-9.541308668,-2.017417528,9.840209395,1.867960076,Chew,1P
-0.441366895,-0.264253625,-9.549847476,-1.44177925,5.519756038,2.333062791,Chew,1P
-0.489197937,-0.253174143,-9.488877748,-0.725408793,1.015668884,2.372318085,Chew,1P
-0.731883613,-0.184837711,-9.396791557,0.554288648,1.414601331,1.590072608,Chew,1P
-1.139993161,-0.135415719,-9.438581111,1.839267152,4.588579277,-0.637503402,Chew,1P
-1.574614909,-0.181577168,-9.686490715,1.466914174,6.32969207,-3.281113602,Chew,1P
-1.761150684,-0.285156349,-9.941359485,-1.205117119,6.215792793,-3.950941191,Chew,1P
-1.521960425,-0.32359208,-9.91574372,-4.145279887,5.898987804,-1.771926142,Chew,1P
-1.023585534,-0.259706124,-9.601555102,-4.42787726,4.997954304,1.251609344,Chew,1P
-0.650715845,-0.199418208,-9.309193407,-1.714659167,2.500823261,2.58285521,Chew,1P
-0.617770616,-0.241108091,-9.29483808,1.266103186,0.222227336,1.973966588,Chew,1P
-0.785258468,-0.341016828,-9.468854874,1.97114042,0.817545543,1.130424662,Chew,1P
-0.867263336,-0.369463918,-9.547978066,0.643134878,2.981772397,1.215439951,Chew,1P
-0.769244426,-0.266435899,-9.430678818,-0.746112146,2.128978009,1.666591927,Chew,1P
-0.681619478,-0.126630663,-9.322666285,-1.189623706,-3.180907573,1.471085657,Chew,1P
-0.822824753,-0.124341202,-9.454820285,-1.473241552,-7.935391722,0.762356292,Chew,1P
-1.141184805,-0.325101486,-9.752286039,-2.522012162,-6.387464603,0.466799876,Chew,1P
-1.367911251,-0.585056985,-9.91388357,-3.722726547,0.069168922,0.763072121,Chew,1P
-1.347950288,-0.686124468,-9.805524509,-3.573531121,4.558107305,0.937151684,Chew,1P
-1.186526449,-0.563690766,-9.600092658,-1.82709232,4.069386548,0.7477079,Chew,1P
-1.050762657,-0.35574434,-9.489823524,-0.071897436,2.374570719,0.811334354,Chew,1P
-0.970714639,-0.236823562,-9.45179024,0.139814977,2.578652714,1.416989285,Chew,1P
-0.911847915,-0.250284266,-9.400048267,-1.00295053,1.945301513,1.946523574,Chew,1P
-0.930291677,-0.301561672,-9.405512178,-2.159139764,-2.467131689,1.872574721,Chew,1P
-1.108928487,-0.273838976,-9.586019228,-2.435815168,-6.653943842,1.606490655,Chew,1P
-1.358373208,-0.147950651,-9.846824832,-1.841251316,-3.734402334,1.739960828,Chew,1P
-1.438431443,-0.036777541,-9.928539066,-0.759458793,5.287885036,1.882278555,Chew,1P
-1.236888408,-0.081699995,-9.735837414,0.279695731,10.72466334,1.153566815,Chew,1P
-0.915809967,-0.279587254,-9.460347834,0.642579672,6.456490931,-0.205354606,Chew,1P
-0.720925467,-0.454552319,-9.332670489,0.075276094,-1.538271586,-0.74960955,Chew,1P
-0.739668217,-0.456229402,-9.387548017,-0.898277066,-2.666708575,0.230968381,Chew,1P
-0.902629269,-0.336072319,-9.523724296,-1.3965703,4.430781204,1.508609567,Chew,1P
-1.131880287,-0.258602527,-9.665841595,-1.113516723,9.774764838,1.320667499,Chew,1P
-1.384825661,-0.282237313,-9.777769761,-0.790160249,5.003243754,-0.450315638,Chew,1P
-1.565909158,-0.301177533,-9.795644995,-1.348192269,-5.036051807,-2.137298835,Chew,1P
-1.521230357,-0.189586214,-9.665934153,-2.249255546,-8.211519409,-2.177287491,Chew,1P
-1.236784826,0.041036603,-9.458059875,-1.552713233,-0.962239075,-0.586755108,Chew,1P
-0.966537992,0.231447125,-9.345599772,1.462604199,8.230066517,1.441906059,Chew,1P
-0.953505358,0.219958405,-9.403242601,4.484809235,11.12354651,2.859574146,Chew,1P
-1.033969991,0.010550064,-9.475023419,4.232396116,8.162032445,3.436081336,Chew,1P
-0.799641319,-0.213882799,-9.361687366,0.201945714,3.077944466,3.442225069,Chew,1P
-0.23453315,-0.273236413,-9.131714039,-4.511621867,-3.404618061,3.110820837,Chew,1P
0.116835349,-0.179902093,-9.085880009,-6.448775386,-10.0473715,2.698421514,Chew,1P
-0.190870584,-0.108342098,-9.352273173,-5.305670793,-11.27342282,2.729535098,Chew,1P
-0.922083998,-0.176415756,-9.685899652,-3.480640265,-3.730382403,3.383690065,Chew,1P
-1.464204559,-0.317654262,-9.784498443,-2.648195148,6.446885528,3.841287299,Chew,1P
-1.528111514,-0.389642429,-9.651990636,-2.295650319,9.783132563,3.238640161,Chew,1P
-1.320360963,-0.343489719,-9.510862217,-1.505151815,5.38340898,2.071315367,Chew,1P
-1.144195557,-0.249170098,-9.479509143,-0.451068097,0.746814127,1.583269947,Chew,1P
-1.078888517,-0.203956756,-9.499312198,0.192642441,0.345683173,1.886221165,Chew,1P
-1.070839867,-0.251689628,-9.518844622,0.144139869,0.093506155,1.761660045,Chew,1P
-1.142663276,-0.348632309,-9.579220088,-0.458467543,-4.969449373,0.611619203,Chew,1P
-1.352594386,-0.37892323,-9.687455975,-1.168670958,-11.45750516,-0.292769773,Chew,1P
-1.605196753,-0.257688204,-9.736721009,-1.27131045,-10.74093428,0.617103381,Chew,1P
-1.680718288,-0.054057628,-9.642497845,-0.371072412,-0.962805031,2.830681444,Chew,1P
-1.492143951,0.050404576,-9.48344431,0.898844427,9.009966425,4.177545432,Chew,1P
-1.190165479,-0.033906953,-9.407674339,1.339690727,10.1762356,3.622922723,Chew,1P
-0.974972254,-0.20335969,-9.442046706,0.571749528,4.23103915,2.343863613,Chew,1P
-0.919425048,-0.299336409,-9.490553591,-0.576362557,0.041013573,1.693141957,Chew,1P
-1.018743283,-0.282078297,-9.501166431,-1.239321593,1.61084218,1.371261477,Chew,1P
-1.272606846,-0.21980373,-9.534010643,-1.421805233,4.456650203,0.447429459,Chew,1P
-1.600721835,-0.157010108,-9.636965466,-1.393458614,4.136917405,-0.695892979,Chew,1P
-1.773162865,-0.072499857,-9.734036504,-0.883535009,2.931891329,-0.712085576,Chew,1P
-1.599425767,0.023439635,-9.711058244,0.403448422,4.455142627,0.58043867,Chew,1P
-1.195735913,0.032858125,-9.580654865,1.879160545,6.211057463,1.662018512,Chew,1P
-0.924018213,-0.11374995,-9.482261507,2.48656469,3.591215009,1.30920558,Chew,1P
-0.97917208,-0.330772815,-9.498982619,1.800408461,-1.594820723,0.278627634,Chew,1P
-1.108134468,-0.453902506,-9.525708523,0.088517548,-3.232581306,0.348039215,Chew,1P
-0.896848649,-0.420672136,-9.394481997,-2.149482988,-0.373173769,1.957099075,Chew,1P
-0.36745483,-0.312240012,-9.146411166,-3.943586235,1.278158847,3.461857329,Chew,1P
-0.073172977,-0.246415016,-9.064771676,-4.096510456,-2.045302495,3.171230447,Chew,1P
-0.435495559,-0.278436093,-9.332872649,-2.702150511,-6.459706998,1.726838557,Chew,1P
-1.188042633,-0.37502804,-9.753064898,-1.433498632,-5.710764045,1.353339787,Chew,1P
-1.708011778,-0.443928353,-9.951081608,-1.38230438,0.325722864,2.712890412,Chew,1P
-1.728767571,-0.408931711,-9.800527421,-1.737603502,5.942071767,4.042725329,Chew,1P
-1.477831137,-0.286976491,-9.507815733,-1.392511208,7.449382493,3.8046023,Chew,1P
-1.258069517,-0.18256666,-9.329522544,-0.568882288,6.627869089,2.479486399,Chew,1P
-1.176301166,-0.187791413,-9.352267086,0.010333851,5.911518093,1.148739238,Chew,1P
-1.23194782,-0.294290823,-9.523243297,0.33143483,4.466282545,0.014767454,Chew,1P
-1.405187701,-0.412210243,-9.735767231,0.477906155,1.338886032,-0.861097904,Chew,1P
-1.592711767,-0.462062348,-9.852098299,-0.101735479,-1.044830883,-0.828132406,Chew,1P
-1.625671485,-0.435966767,-9.774051809,-1.522454743,-0.18398941,0.34140236,Chew,1P
-1.451466142,-0.381129847,-9.559547206,-2.524336248,2.081798653,1.700682423,Chew,1P
-1.214873076,-0.343391892,-9.389907966,-1.870319874,2.510423871,2.252447731,Chew,1P
-1.090378531,-0.329940452,-9.373960306,-0.076970408,2.060226314,2.092295457,Chew,1P
-1.110571259,-0.313167852,-9.453110462,1.289816825,4.12241317,1.739921268,Chew,1P
-1.225148633,-0.265646589,-9.532851526,1.475924427,7.758132761,1.068301227,Chew,1P
-1.4236139,-0.202996089,-9.617297684,0.817528576,7.44806439,-0.184708277,Chew,1P
-1.669848195,-0.186335038,-9.73849828,-0.25011277,1.498974853,-1.292687897,Chew,1P
-1.790831555,-0.253651501,-9.823032764,-1.447034563,-3.372976807,-1.081774544,Chew,1P
-1.611643508,-0.352950226,-9.745538095,-2.178649011,-0.491672289,0.350633682,Chew,1P
-1.212299741,-0.385469598,-9.508791985,-1.843364413,6.518117702,1.535500916,Chew,1P
-0.905766493,-0.322250122,-9.278341675,-0.750857329,8.421750952,1.59868723,Chew,1P
-0.898045673,-0.239446417,-9.210680999,-0.015065915,3.790324532,1.342242106,Chew,1P
-1.05468186,-0.227959908,-9.298416833,-0.33099449,0.217509296,1.71973789,Chew,1P
-1.097003878,-0.29859351,-9.423792552,-1.233020558,2.033105918,2.034906222,Chew,1P
-0.989156968,-0.384728126,-9.529499935,-1.676979582,4.326617725,0.846497198,Chew,1P
-0.977769699,-0.415097668,-9.654501907,-1.274783443,1.867358193,-1.409491395,Chew,1P
-1.21032148,-0.375236789,-9.796297931,-0.750519761,-2.20238683,-2.197104401,Chew,1P
-1.493919357,-0.309976233,-9.850626108,-0.842235177,-1.785565824,-0.117448404,Chew,1P
-1.547539527,-0.275256439,-9.74991963,-1.136531876,2.16520603,2.953770367,Chew,1P
-1.351709665,-0.291656348,-9.573651631,-0.77121234,3.754580563,4.207408532,Chew,1P
-1.124781031,-0.340343019,-9.44884382,0.143388833,1.951841443,3.241132608,Chew,1P
-1.066368386,-0.381889198,-9.412773393,0.789322996,1.10832279,1.76288053,Chew,1P
-1.238605508,-0.371587553,-9.445539051,0.901534648,2.260179586,0.969864858,Chew,1P
-1.596153837,-0.294146599,-9.561635556,0.732114311,0.923503887,0.670995442,Chew,1P
-1.993197442,-0.20729088,-9.764254015,0.118375439,-4.470557793,0.50304965,Chew,1P
-2.215322051,-0.204033598,-9.952939746,-1.212508615,-7.561459178,0.574260391,Chew,1P
-2.141453284,-0.290058618,-9.992008334,-2.415662851,-2.044752044,0.817798405,Chew,1P
